,EVENT_ID,GAME_ID,PITCH_SEQ_TX,PIT_ID,INN_CT,RBI_CT,PA_BALL_CT,BAT_DEST_ID,EVENT_OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,BAT_HOME_ID,PIT_COUNT,SCORE_DIFF,TEAM_WINS
192,56,BAL200104150,X,ponss001,7,0,0,0,1,3,5,0,99,-2,False
193,44,BAL200104150,BBFX,rekab001,5,0,2,0,1,3,3,1,95,0,False
194,47,BAL200104160,X,johnj007,6,0,0,0,1,2,1,0,93,1,True
195,49,BAL200104160,SFX,ruper001,6,0,0,0,1,2,1,1,103,-1,False
196,41,BAL200104170,BFBBX,mercj001,6,0,3,2,0,1,3,0,106,-2,False
197,57,BAL200104170,BBX,burbd001,7,0,2,1,0,1,8,1,107,7,True
198,46,BAL200104180,CBSX,hentp001,6,2,1,1,0,0,2,0,110,-2,False
199,65,BAL200104180,X,colob001,8,0,0,1,1,0,4,1,117,4,True
200,45,BAL200104190,BFX,mcelc001,5,0,1,1,0,2,3,0,78,-1,False
201,65,BAL200104190,BX,sabac001,6,0,1,0,1,2,9,1,92,7,True
202,50,BAL200104300,X,robew001,6,0,0,0,1,5,3,0,89,2,True
203,59,BAL200104300,CX,wilsp001,7,0,0,1,0,5,3,1,111,-2,False
204,44,BAL200105010,CBSC,johnj007,6,0,1,0,1,2,1,0,99,1,True
205,57,BAL200105010,BBSX,rekab001,7,0,2,2,0,2,1,1,99,-1,False
206,50,BAL200105020,BBX,mercj001,7,0,2,0,1,1,3,0,86,-2,False
207,41,BAL200105020,FBX,ruper001,5,0,1,0,1,1,3,1,61,2,True
208,42,BAL200105030,CX,mcelc001,5,0,0,0,1,1,5,0,87,-4,False
209,48,BAL200105030,BBCCX,lillt001,5,4,2,4,0,1,5,1,98,4,False
210,55,BAL200105040,CFFC,hentp001,6,0,0,0,1,4,3,0,108,1,False
211,60,BAL200105040,BB+1FCFBX,clemr001,6,1,3,1,0,4,3,1,114,-1,False
212,60,BAL200105050,CBBFS,robew001,7,0,2,0,1,2,4,0,102,-2,False
213,64,BAL200105050,BX,petta001,7,0,1,0,1,2,4,1,121,2,True
214,52,BAL200105060,BC,johnj007,7,0,1,0,1,1,1,0,106,0,False
215,56,BAL200105060,FX,mussm001,7,0,0,0,2,1,1,1,105,0,True
216,45,BAL200105150,SFBFS,ponss001,5,0,1,0,1,4,3,0,89,1,True
217,48,BAL200105150,BBBB,mlicd001,5,0,4,1,0,4,3,1,85,-1,False
218,54,BAL200105160,SBBX,hentp001,7,0,2,0,1,3,2,0,95,1,True
219,51,BAL200105170,BFFBFFBX,robew001,6,0,3,0,1,5,6,0,92,-1,False
220,54,BAL200105170,CX,spars001,6,0,0,2,0,5,6,1,100,1,True
221,66,BAL200105180,BBFSFX,johnj007,8,0,2,2,0,7,2,0,102,5,True
222,33,BAL200105180,X,milte001,4,2,0,1,0,5,0,1,76,-5,False
223,38,BAL200105190,FFX,mercj001,5,0,0,0,1,1,2,0,93,-1,False
224,50,BAL200105190,CCBX,maysj001,6,0,1,0,1,4,2,1,77,-2,True
225,50,BAL200105200,BBCCBX,ponss001,7,1,3,1,0,2,1,0,109,1,False
226,40,BAL200105200,BSBBCFS,redmm002,5,0,3,0,1,2,1,1,89,-1,False
227,55,BAL200105230,CFC,robew001,5,0,0,0,1,8,4,0,112,4,True
228,58,BAL200105230,CBFBX,schos001,5,0,2,1,0,8,4,1,99,-4,False
229,62,BAL200105240,BBX,johnj007,7,0,2,0,2,6,3,0,112,3,True
230,59,BAL200105240,CBFS,ortir002,6,0,1,0,1,6,3,1,97,-3,False
231,54,BAL200105250,X,mercj001,6,0,0,0,1,7,4,0,121,3,True
232,44,BAL200105250,BCX,mahop001,5,0,1,3,0,6,2,1,80,-4,False
233,57,BAL200105270,CX,ponss001,7,0,0,0,1,3,1,0,102,2,True
234,60,BAL200105270,BBCFFFBX,glynr001,7,0,3,0,1,3,1,1,110,-2,False
235,50,BAL200105280,BBX,towej001,7,0,2,1,1,1,2,0,91,-1,False
236,52,BAL200105280,BX,rogek001,7,0,1,1,0,1,2,1,85,1,False
237,42,BAL200106080,BSFFX,blanm001,5,0,1,0,1,3,0,1,91,-3,False
238,52,BAL200106090,FCBS,robew001,7,0,1,0,1,0,1,0,95,-1,False
239,56,BAL200106090,BBX,yoshm001,7,0,2,1,0,1,1,1,91,0,False
240,68,BAL200106100,BBFSX,johnj007,9,1,2,1,0,3,1,0,110,2,True
241,26,BAL200106120,CSBBX,mercj001,3,1,2,1,0,2,5,0,60,-3,False
242,61,BAL200106120,BBSFFFFBX,reedr002,6,0,3,0,1,3,9,1,101,6,True
243,61,BAL200106130,FSX,ponss001,7,0,0,0,1,6,0,0,99,6,False
244,38,BAL200106130,FCX,ruscg001,4,0,0,1,0,5,0,1,88,-5,False
245,50,BAL200106140,CBBSX,towej001,7,0,2,0,1,2,2,0,90,0,True
246,56,BAL200106140,BBBB,tracs001,7,0,4,1,0,3,2,1,100,-1,False
247,61,BAL200106180,BX,ponss001,7,0,1,0,1,2,2,0,114,0,True
248,56,BAL200106180,CX,parrs001,6,0,0,0,2,2,2,1,116,0,False
249,52,BAL200106190,X,towej001,7,0,0,0,1,4,1,0,87,3,True
250,39,BAL200106190,BBCBS,hamij002,5,0,3,0,1,4,0,1,51,-4,False
251,54,BAL200106200,BFX,robew001,7,0,1,2,0,3,1,0,96,2,False
252,36,BAL200106200,CCBFFBC,carpc002,4,0,2,0,1,2,1,1,57,-1,False
253,41,BAL200106210,CX,johnj007,5,0,0,2,0,0,5,0,87,-5,False
254,69,BAL200106210,BBFFX,wellk001,8,0,2,0,2,0,6,1,108,6,True
255,59,BAL200106220,BX,mercj001,7,0,1,1,1,2,3,0,96,-1,True
256,65,BAL200106220,BCBX,welld001,7,2,2,2,0,3,3,1,92,0,False
257,60,BAL200106230,CSX,ponss001,7,1,0,1,0,3,3,0,116,0,False
258,55,BAL200106230,BCCFBX,buehm001,6,0,2,1,0,3,2,1,112,-1,False
259,49,BAL200106240,X,towej001,6,0,0,1,0,2,3,0,68,-1,False
260,68,BAL200106240,BBCBB,baldj002,7,0,4,1,0,2,7,1,97,5,True
261,53,BAL200107030,BFX,mercj001,6,0,1,1,0,5,6,0,94,-1,False
262,38,BAL200107030,BCFX,keisr001,4,0,1,0,1,5,2,1,68,-3,False
263,15,BAL200107040,X,ponss001,2,0,0,0,1,0,0,0,32,0,False
264,58,BAL200107040,BBX,clemr001,7,0,2,1,0,2,4,1,88,2,True
265,51,BAL200107050,FBX,towej001,7,0,1,0,1,1,3,0,89,-2,False
266,52,BAL200107050,BBBCB,lillt001,7,0,4,1,0,1,3,1,90,2,True
267,56,BAL200107060,BBX,robew001,7,2,2,4,0,2,0,0,97,2,False
268,53,BAL200107060,CFFBX,daalo001,6,0,1,1,1,2,0,1,95,-2,False
269,52,BAL200107070,BX,johnj007,6,0,1,0,2,0,1,0,110,-1,True
270,54,BAL200107070,BBX,figun001,6,0,2,1,0,0,1,1,101,1,False
271,66,BAL200107080,BBFBX,mercj001,7,0,3,0,1,4,2,0,116,2,False
272,57,BAL200107080,BBBFFB,persr001,6,1,4,1,0,1,2,1,84,1,False
273,37,BAL200107180,BX,dougs001,4,2,1,1,0,1,4,0,92,-3,False
274,65,BAL200107180,CCBFFS,hellr001,7,0,1,0,1,4,6,1,96,2,True
275,62,BAL200107210,CX,towej001,8,0,0,2,0,2,4,0,108,-2,False
276,66,BAL200107210,FBBBFB,ortir002,8,0,4,1,0,2,4,1,94,2,False
277,57,BAL200107221,BX,robew001,7,0,1,1,0,4,5,0,96,-1,False
278,45,BAL200107221,CBFBBB,schos001,5,0,4,1,0,4,5,1,70,1,False
279,61,BAL200107222,CBCS,johnj007,7,0,1,0,1,2,1,0,123,1,True
280,54,BAL200107222,CX,rappp001,6,0,0,0,2,0,1,1,98,1,False
281,30,BAL200107230,FBX,mercj001,3,1,1,2,1,2,5,0,69,-3,False
282,58,BAL200107230,BCBFBB,valdi001,6,0,4,1,0,2,9,1,79,7,True
283,61,BAL200107300,BBX,ponss001,7,0,2,0,1,4,4,0,101,0,False
284,65,BAL200107300,CBBFX,david002,7,0,2,0,1,4,4,1,99,0,False
285,43,BAL200107310,FFB,towej001,5,0,1,0,1,3,5,0,70,-2,False
286,46,BAL200107310,CBFBFX,wilsp001,5,0,2,0,1,3,5,1,60,2,True
287,58,BAL200108010,FFBBFFC,johnj007,7,0,2,0,1,3,4,0,113,-1,False
288,53,BAL200108010,CX,ruper001,6,2,0,2,0,0,4,1,80,4,False
289,53,BAL200108020,X,maduc001,7,0,0,0,1,1,3,0,98,-2,False
290,58,BAL200108020,FBSB,sturt001,7,0,2,0,1,2,3,1,108,1,True
291,56,BAL200108110,X,towej001,7,0,0,0,1,4,2,0,84,2,True
292,37,BAL200108110,X,coned001,4,0,0,0,1,4,0,1,90,-4,False
293,41,BAL200108120,BBBCB,johnj007,4,0,4,1,0,5,7,0,67,-2,False
294,35,BAL200108120,CBCBX,arror001,3,2,2,2,0,3,7,1,63,4,False
295,57,BAL200108140,SFFC,maduc001,7,0,0,0,1,5,2,0,95,3,True
296,53,BAL200108140,FBX,durbc001,6,0,1,1,0,5,2,1,102,-3,False
297,49,BAL200108150,BBFFBX,mercj001,6,0,3,0,1,4,4,0,114,0,True
298,62,BAL200108150,BBBFLX,wilsk001,7,0,3,1,0,5,4,1,86,-1,False
299,59,BAL200108160,FBX,ponss001,7,0,1,0,1,0,6,0,108,-6,False
300,64,BAL200108160,CX,byrdp001,7,0,0,0,1,0,6,1,101,6,True
301,58,BAL200108240,SCBFFFX,carpc002,7,0,1,0,1,0,2,1,97,2,True
302,30,BAL200108250,CX,maduc001,4,0,0,1,0,0,4,0,79,-4,False
303,43,BAL200108260,CFFFBBX,mercj001,6,0,2,0,1,0,5,0,107,-5,False
304,48,BAL200108260,FCFX,lyonb003,6,0,0,0,1,1,5,1,85,4,True
305,34,BAL200108280,BX,ponss001,4,0,1,0,1,2,6,0,75,-4,False
306,73,BAL200108280,BCBX,muldm001,8,0,2,0,1,2,6,1,90,4,True
